"Short Name","[M+H]+","Product ions"
"C","244.092797","112.050538"
"U","245.076813","113.034554"
"Y","245.076813","209.055683;179.045119;155.045119"
"D","247.092463","115.050204;97.039639"
"Cm","258.108447","112.050538"
"m3C/m4C/m5C","258.108447","126.066188"
"Um","259.092463","113.034554"
"Ym","259.092463","223.071333"
"m3U/m5U","259.092463","127.050204"
"m1Y/m3Y","259.092463","169.060769;179.045119;227.066248;209.055683"
"s2C","260.069954","128.027695"
"ho5C","260.087712","128.045453"
"s2U/s4U","261.053969","129.01171"
"ho5U","261.071727","129.029468"
"m5D","261.108113","129.065854"
"A","268.10403","136.061772"
"I","269.088046","137.045787"
"f5C","272.087712","140.045453"
"m4Cm","272.124097","126.066188"
"m4,4C","272.124097","140.081838"
"m3Um/m5Um","273.108113","127.050204"
"hm5C/nm5U","274.103362","142.061103"
"m5s2U","275.069619","143.02736"
"s2Um","275.069619","129.01171"
"mo5U","275.087377","143.045119"
"Am","282.11968","136.061772"
"m1A/m2A/m6A/m8A","282.11968","150.077422"
"m1I","283.103696","151.061437"
"Im","283.103696","137.045787"
"G","284.087712","152.045453"
"ac4C","286.103362","154.061103;112.050538"
"f5Cm","286.103362","140.045453"
"m4,4Cm","286.139747","140.081838"
"mnm5U","288.119012","156.076753;239.066248;257.076813;125.034554;209.055683"
"hm5Cm","288.119012","142.061103"
"nm5s2U","290.080518","158.038259"
"f6A","296.098945","164.056686"
"m2,8A/m6,6A","296.135331","164.093072"
"m1Am/m6Am","296.135331","150.077422"
"Gm","298.114595","152.056686"
"m1G/m2G/m7G","298.114595","166.072336"
"hm6A","298.114595","268.104030;136.061772"
"ncm5U","302.098276","170.056018;153.029468;125.034554"
"cm5U","303.082292","171.040033"
"mnm5s2U","304.096168","172.053910;255.043404;273.053969;141.011710"
"se2U","308.998463","176.956169"
"preQ0","308.098945","176.056686"
"m6,6Am","310.150981","164.093072"
"m2,2G/m2,7G/preQ1","312.130245","180.087986"
"ncm5Um","316.113926","170.056018;153.029468;125.034554"
"mcm5U","317.097942","185.055683;153.029468;125.034554"
"ncm5s2U","318.075433","186.033174;169.006625;141.011710"
"nchm5U","318.093191","186.050932;169.024383;141.029468"
"cm5s2U","319.059448","187.017190;169.006625;141.011710"
"chm5U/cmo5U","319.077206","187.034948;169.024383;141.029468"
"imG-14","322.114595","190.072336"
"ms2m6A","328.107402","196.065143"
"m2,2,7G","326.145895","194.103636"
"mcm5Um","331.113592","185.055683"
"cmnm5U","332.108841","239.066248;257.076813;209.055683;125.034554;200.066582;221.031874"
"mcm5s2U","333.075098","201.032840;169.006625;141.011710"
"mchm5U","333.092857","183.016224;201.050598;297.071727"
"mcmo5U","333.092857","183.016224;201.050598;297.071727;315.082292;129.029468"
"imG","336.130245","204.087986"
"i6A","336.166631","204.124372;136.061772"
"nm5se2U","338.025017","205.98272"
"inm5U","342.165962","210.123703"
"acp3U","346.124491","214.082232;197.055683;168.076753"
"acp3Y","346.124491","214.082232"
"cmnm5Um","346.124491","271.092463;221.031874;253.058088;200.066582"
"mcmo5Um","347.108507","183.016224;201.050598;297.071727;315.082292;129.029468"
"cmnm5s2U","348.085998","255.043404;273.053969;141.011710;216.043739;237.032840;225.032840"
"acp3D","348.140141","216.097882"
"mnm5se2U","352.040672","219.998372"
"io6A","352.161545","220.119287"
"inm5Um","356.181612","210.123703"
"inm5s2U","358.143118","226.10086"
"m1acp3Y","360.140141","228.097882"
"g6A","369.115323","237.073065"
"k2C","372.18776","240.145501"
"tm5U","382.091477","250.049218"
"ms2i6A","382.154352","250.112093"
"cmnm5se2U","396.030518","263.988214"
"ct6A","395.130973","263.088715"
"ges2U","397.17917","265.136911"
"tm5s2U","398.068633","266.026375"
"ms2io6A","398.149266","266.107008"
"Q","410.167025","163.061437;295.103696"
"t6A","413.141538","281.099279"
"yW-86","423.162274","291.120015"
"oQ","426.161939","163.061437;295.103696"
"nm5ges2U","426.205719","294.16346"
"hn6A/m6t6A","427.157188","295.114929"
"msms2i6A","428.142073","296.099814"
"ht6A","429.136453","297.094194"
"yW-72","437.177924","305.135665"
"ms2ct6A","440.123446","308.081187"
"mnm5ges2U","440.221369","308.17911"
"yW-58","451.193574","319.151315"
"OHyWx","453.172838","321.130579"
"ms2t6A","459.129259","327.087001"
"OHyWy","467.188488","335.14623"
"ms2hn6A","473.144909","341.102651"
"cmnm5ges2U","484.211198","352.168939"
"yW","509.199053","377.156794"
"OHyW","525.193968","393.151709"
"gluQ","539.209618","407.167359"
"o2yW","541.188882","409.146623"
"galQ/manQ","572.219848","440.177589;163.061437;295.103696"
"ac6A","310.114595","178.072336"
"m2,2Gm","326.145895","180.087986"
